"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1929069713751003298","Sun Jun 01 06:57:14 +0000 2025","0","benci bgt silent treatment","1929069713751003298","","","in","","0","0","0","https://x.com/undefined/status/1929069713751003298","1242137092685099013",
"1934579145826357437","Mon Jun 16 11:49:45 +0000 2025","0","pgn beli makan keluar tapi males apa gofood aja ya","1934579145826357437","","","in","","0","0","0","https://x.com/undefined/status/1934579145826357437","1242137092685099013",
"1928830776944013381","Sat May 31 15:07:47 +0000 2025","0","hidupku ga pernah tenang","1928830776944013381","","","in","","0","1","0","https://x.com/undefined/status/1928830776944013381","1242137092685099013",
"1930512064990351391","Thu Jun 05 06:28:38 +0000 2025","0","Gasuka matkul gamtek","1930512064990351391","","","in","","0","0","0","https://x.com/undefined/status/1930512064990351391","1242137092685099013",
"1933923023830270222","Sat Jun 14 16:22:34 +0000 2025","0","huft gatau lah seburuk nya aku dulu tetep buruk dimatanya","1933923023830270222","","","in","","0","0","0","https://x.com/undefined/status/1933923023830270222","1242137092685099013",
"1934542600738115684","Mon Jun 16 09:24:32 +0000 2025","0","gaada hari istimewa adanya hari hari kek kontol","1934542600738115684","","","in","","0","0","0","https://x.com/undefined/status/1934542600738115684","1242137092685099013",
"1933327860925935642","Fri Jun 13 00:57:36 +0000 2025","0","mesin cuci kos ku perasaan ga pernah ga nganggur ajg setiap mau make mesti ae dipake","1933327860925935642","","","in","","0","0","0","https://x.com/undefined/status/1933327860925935642","1242137092685099013",
"1930839176691474926","Fri Jun 06 04:08:27 +0000 2025","0","kerja paling enak kerja sama ortu‍↔️","1930839176691474926","","","in","","0","0","0","https://x.com/undefined/status/1930839176691474926","1242137092685099013",
"1929879306072944875","Tue Jun 03 12:34:16 +0000 2025","0","tahu go enak ya ternyata","1929879306072944875","","","in","","0","0","0","https://x.com/undefined/status/1929879306072944875","1242137092685099013",
"1933869485326483535","Sat Jun 14 12:49:49 +0000 2025","0","aku sudah muak merawat rambut jelek ini anjink","1933869485326483535","","","in","","0","0","0","https://x.com/undefined/status/1933869485326483535","1242137092685099013",
"1928835042643775685","Sat May 31 15:24:44 +0000 2025","0","sehari gaada masalah keknya gabisa ya?","1928835042643775685","","","in","","0","0","0","https://x.com/undefined/status/1928835042643775685","1242137092685099013",
"1928843352415363332","Sat May 31 15:57:46 +0000 2025","0","mingdep ini hectic co doakan semoga ga stress","1928843352415363332","","","in","","0","0","0","https://x.com/undefined/status/1928843352415363332","1242137092685099013",
"1932690196140839177","Wed Jun 11 07:32:50 +0000 2025","0","@directedbyal pak sunu kah lin","1932702548198310308","","directedbyal","in","","0","1","0","https://x.com/undefined/status/1932702548198310308","1242137092685099013",
"1930514030843543947","Thu Jun 05 06:36:26 +0000 2025","0","Ciki ciko hilang","1930514030843543947","","","in","","0","0","0","https://x.com/undefined/status/1930514030843543947","1242137092685099013",
"1929177652466012178","Sun Jun 01 14:06:09 +0000 2025","0","h-3 bulan di malang","1929177652466012178","","","in","","0","1","0","https://x.com/undefined/status/1929177652466012178","1242137092685099013",
"1929404013109293558","Mon Jun 02 05:05:37 +0000 2025","0","Coo keceplosan kont padahal kontrol","1929404013109293558","","","in","","0","0","0","https://x.com/undefined/status/1929404013109293558","1242137092685099013",
"1932825236220883347","Wed Jun 11 15:40:21 +0000 2025","0","akhirnya aku beli sonny angel kiss kiss","1932825236220883347","","","in","","0","0","0","https://x.com/undefined/status/1932825236220883347","1242137092685099013",
"1931656089193635979","Sun Jun 08 10:14:34 +0000 2025","0","tim suka acar jahe","1931656089193635979","","","in","","0","0","0","https://x.com/undefined/status/1931656089193635979","1242137092685099013",
"1933419402973884800","Fri Jun 13 07:01:21 +0000 2025","0","Dpa banyak bacot","1933419402973884800","","","in","","0","1","0","https://x.com/undefined/status/1933419402973884800","1242137092685099013",
"1930443938915320118","Fri Jun 06 09:55:17 +0000 2025","0","@grok @PenaltySZN @DokterTifa Hahah ajg","1930926461520863342","","grok","in","","0","0","0","https://x.com/undefined/status/1930926461520863342","1242137092685099013",
